,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.909,0.909,0.0,0,0.778,0.635,0.0,0.0,0.055,0.728,0.0
1,es_fscore_0.5_std,0.0,0.0,0.0,0,0.391,0.127,0.0,0.0,0.045,0.375,0.0
2,es_precision_0.5_mean,0.833,0.833,0.0,0,0.8,1.0,0.0,0.0,0.029,0.8,0.0
3,es_precision_0.5_std,0.0,0.0,0.0,0,0.4,0.0,0.0,0.0,0.023,0.4,0.0
4,es_recall_0.5_mean,1.0,1.0,0.0,0,0.76,0.48,1.0,0.4,0.6,0.88,0.48
5,es_recall_0.5_std,0.0,0.0,0.0,0,0.388,0.16,0.0,0.0,0.49,0.16,0.371
6,execution_time_mean,0.698,0.725,18.046,0,57.823,2.611,2.904,8.442,20.106,2.923,1.52
7,execution_time_std,0.035,0.01,0.413,0,44.002,0.041,0.061,0.073,0.106,0.114,1.188
