,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.727,0.909,0,0,0.778,0.643,0.0,0,0.005,0.578,0.0
1,es_fscore_05_std,0.364,0.0,0,0,0.391,0.087,0.0,0,0.0,0.473,0.0
2,es_precision_05_mean,0.667,0.833,0,0,0.8,1.0,0.0,0,0.002,0.6,0.0
3,es_precision_05_std,0.333,0.0,0,0,0.4,0.0,0.0,0,0.0,0.49,0.0
4,es_recall_05_mean,0.8,1.0,0,0,0.76,0.48,1.0,0,1.0,0.96,0.52
5,es_recall_05_std,0.4,0.0,0,0,0.388,0.098,0.0,0,0.0,0.08,0.449
6,execution_time_mean,423.397,440.347,0,0,1624.378,1631.791,1208.121,0,177442.998,1269.739,46.311
7,execution_time_std,3.816,5.268,0,0,59.582,25.261,10.157,0,0.0,19.428,22.525
