,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.909,0.909,0,0,0.556,0.635,0.0,0,0,0.478,0.0
1,es_fscore_05_std,0.0,0.0,0,0,0.455,0.127,0.0,0,0,0.393,0.0
2,es_precision_05_mean,0.833,0.833,0,0,0.6,1.0,0.0,0,0,0.56,0.0
3,es_precision_05_std,0.0,0.0,0,0,0.49,0.0,0.0,0,0,0.463,0.0
4,es_recall_05_mean,1.0,1.0,0,0,0.52,0.48,1.0,0,0,0.84,0.333
5,es_recall_05_std,0.0,0.0,0,0,0.431,0.16,0.0,0,0,0.196,0.471
6,execution_time_mean,8008.291,8160.015,0,0,13260.799,15427.802,11102.342,0,0,11524.435,333.474
7,execution_time_std,9148.67,9209.01,0,0,2720.564,2057.512,2325.049,0,0,2261.301,234.527
