,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.909,0.909,0,0,0.689,0.762,0.0,0,0,0.6,0.0
1,es_fscore_05_std,0.0,0.0,0,0,0.406,0.156,0.0,0,0,0.49,0.0
2,es_precision_05_mean,0.833,0.833,0,0,0.7,1.0,0.0,0,0,0.6,0.0
3,es_precision_05_std,0.0,0.0,0,0,0.4,0.0,0.0,0,0,0.49,0.0
4,es_recall_05_mean,1.0,1.0,0,0,0.68,0.64,1.0,0,0,1.0,0.0
5,es_recall_05_std,0.0,0.0,0,0,0.412,0.196,0.0,0,0,0.0,0.0
6,execution_time_mean,1043.678,1096.712,0,0,8244.804,8524.019,7690.2,0,0,7514.842,62.632
7,execution_time_std,16.016,32.974,0,0,9150.805,9206.994,9157.439,0,0,9112.763,58.847
