,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.75_mean,0.85,0.828,0.0,0.263,0.637,0.804,0.003,0.87,0.319,0.05,0.005
1,es_fscore_0.75_std,0.357,0.319,0.0,0.427,0.437,0.29,0.018,0.336,0.223,0.148,0.052
2,es_precision_0.75_mean,0.85,0.838,0.0,0.294,0.638,0.92,0.002,0.87,0.245,0.04,0.01
3,es_precision_0.75_std,0.357,0.323,0.0,0.455,0.445,0.271,0.009,0.336,0.187,0.141,0.099
4,es_recall_0.75_mean,0.85,0.818,0.0,0.255,0.65,0.742,0.833,0.87,0.52,0.919,0.432
5,es_recall_0.75_std,0.357,0.317,0.0,0.422,0.418,0.292,0.121,0.336,0.235,0.107,0.286
6,execution_time_mean,0.149,0.156,1.804,0.143,5.568,1.763,0.687,0.794,0.728,0.689,0.255
7,execution_time_std,0.006,0.006,0.13,0.009,2.38,0.093,0.046,0.039,0.058,0.057,0.006
