,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.956,0.923,0.416,0.449,0.505,0.938,0.967,0.761,0.565,0.674,0.097
1,es_fscore_0.5_std,0.068,0.164,0.2,0.252,0.209,0.049,0.1,0.335,0.11,0.181,0.11
2,es_precision_0.5_mean,0.924,0.937,0.398,0.379,0.99,1.0,0.999,0.74,0.45,1.0,0.5
3,es_precision_0.5_std,0.114,0.167,0.188,0.224,0.099,0.0,0.008,0.353,0.099,0.0,0.36
4,es_recall_0.5_mean,0.998,0.91,0.468,0.558,0.368,0.886,0.95,0.811,0.766,0.536,0.105
5,es_recall_0.5_std,0.011,0.164,0.244,0.285,0.219,0.078,0.137,0.291,0.124,0.208,0.121
6,execution_time_mean,0.147,0.155,2.257,0.147,20.38,1.967,0.674,0.863,0.762,0.679,0.27
7,execution_time_std,0.006,0.007,0.128,0.013,8.416,0.163,0.042,0.066,0.11,0.05,0.008
