,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.8,0.8,0.399,0.435,0.542,0.919,0.859,0.776,0.482,0.753,0.004
1,es_fscore_05_std,0.199,0.199,0.164,0.386,0.138,0.116,0.08,0.209,0.308,0.144,0.028
2,es_precision_05_mean,0.969,0.969,0.461,0.648,0.986,0.99,0.768,0.97,0.459,0.87,0.464
3,es_precision_05_std,0.171,0.171,0.149,0.465,0.062,0.099,0.113,0.171,0.299,0.116,0.494
4,es_recall_05_mean,0.703,0.703,0.384,0.369,0.387,0.865,0.986,0.672,0.51,0.72,0.002
5,es_recall_05_std,0.22,0.22,0.184,0.362,0.143,0.137,0.039,0.229,0.315,0.228,0.016
6,execution_time_mean,0.152,0.158,2.207,0.134,15.022,2.211,0.686,0.818,1.412,0.695,0.261
7,execution_time_std,0.013,0.017,0.157,0.005,6.055,0.179,0.047,0.052,0.089,0.068,0.006
