,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.72,0.72,0.068,0.303,0.345,0.646,0.525,0.964,0.213,0.601,0.299
1,es_fscore_05_std,0.249,0.249,0.107,0.197,0.122,0.297,0.2,0.146,0.164,0.161,0.144
2,es_precision_05_mean,0.727,0.727,0.061,0.385,0.54,0.705,0.462,0.965,0.209,0.534,0.499
3,es_precision_05_std,0.24,0.24,0.073,0.212,0.136,0.246,0.202,0.146,0.162,0.17,0.141
4,es_recall_05_mean,0.718,0.718,0.167,0.274,0.264,0.627,0.682,0.962,0.217,0.767,0.231
5,es_recall_05_std,0.26,0.26,0.243,0.198,0.122,0.302,0.183,0.146,0.166,0.09,0.139
6,execution_time_mean,3.474,3.627,73.333,4.232,30.983,166.356,11.639,24.283,95.322,11.467,0.435
7,execution_time_std,1.3,2.168,51.156,3.616,23.523,86.059,4.826,13.306,45.981,4.523,0.011
