,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.821,0.821,0.084,0.329,0.58,0.669,0.507,0.988,0.192,0.707,0.432
1,es_fscore_05_std,0.205,0.204,0.137,0.204,0.169,0.26,0.257,0.1,0.154,0.175,0.229
2,es_precision_05_mean,0.822,0.823,0.084,0.382,0.659,0.715,0.436,0.99,0.17,0.627,0.68
3,es_precision_05_std,0.19,0.19,0.099,0.208,0.244,0.248,0.249,0.099,0.138,0.177,0.26
4,es_recall_05_mean,0.854,0.854,0.191,0.315,0.55,0.644,0.642,0.987,0.225,0.849,0.345
5,es_recall_05_std,0.208,0.208,0.302,0.215,0.151,0.265,0.256,0.101,0.176,0.157,0.217
6,execution_time_mean,1.052,1.075,18.841,1.784,23.091,18.688,4.036,6.991,19.748,4.032,0.363
7,execution_time_std,0.049,0.048,0.897,0.139,29.565,2.315,0.293,0.244,1.752,0.291,0.01
