,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.911,0.912,0.38,0.251,0.815,0.347,0.765,0.989,0.186,0.814,0.536
1,es_fscore_05_std,0.089,0.089,0.119,0.256,0.217,0.131,0.169,0.07,0.109,0.107,0.221
2,es_precision_05_mean,0.893,0.893,0.446,0.274,0.818,0.5,0.671,0.99,0.135,0.729,0.795
3,es_precision_05_std,0.091,0.091,0.126,0.264,0.234,0.0,0.17,0.07,0.08,0.121,0.275
4,es_recall_05_mean,0.933,0.933,0.382,0.259,0.832,0.294,0.944,0.988,0.3,0.975,0.432
5,es_recall_05_std,0.086,0.086,0.197,0.271,0.195,0.145,0.12,0.071,0.171,0.065,0.204
6,execution_time_mean,0.195,0.202,2.64,0.578,12.397,1.391,0.944,1.029,1.983,0.944,0.272
7,execution_time_std,0.076,0.078,1.293,0.528,6.219,0.634,0.426,0.356,0.862,0.428,0.004
