,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.988,0.807,0.072,0.372,0.579,0.607,0.609,0.99,0.238,0.694,0.391
1,es_fscore_0.5_std,0.081,0.194,0.134,0.204,0.171,0.244,0.226,0.071,0.067,0.157,0.221
2,es_precision_0.5_mean,0.991,0.806,0.071,0.392,0.65,0.645,0.539,0.99,0.177,0.622,0.635
3,es_precision_0.5_std,0.061,0.185,0.093,0.199,0.24,0.238,0.221,0.07,0.056,0.16,0.222
4,es_recall_0.5_mean,0.989,0.833,0.146,0.38,0.551,0.585,0.751,0.989,0.373,0.839,0.313
5,es_recall_0.5_std,0.085,0.203,0.263,0.233,0.156,0.246,0.212,0.073,0.066,0.127,0.215
6,execution_time_mean,0.875,0.954,16.475,1.869,24.465,18.389,3.674,6.241,6.134,3.648,0.356
7,execution_time_std,0.028,0.044,0.734,0.196,27.844,2.81,0.245,0.251,0.33,0.26,0.007
