,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.978,0.728,0.064,0.337,0.557,0.596,0.662,0.989,0.26,0.723,0.288
1,es_fscore_0.5_std,0.122,0.194,0.098,0.221,0.153,0.242,0.182,0.07,0.06,0.132,0.169
2,es_precision_0.5_mean,0.98,0.724,0.053,0.362,0.604,0.64,0.597,0.99,0.2,0.656,0.505
3,es_precision_0.5_std,0.121,0.184,0.068,0.219,0.216,0.224,0.189,0.07,0.054,0.15,0.112
4,es_recall_0.5_mean,0.977,0.769,0.176,0.341,0.535,0.571,0.799,0.989,0.379,0.862,0.226
5,es_recall_0.5_std,0.124,0.209,0.246,0.242,0.132,0.246,0.161,0.071,0.058,0.073,0.172
6,execution_time_mean,0.759,0.793,13.868,2.367,23.387,16.564,3.075,5.217,5.348,3.076,0.347
7,execution_time_std,0.034,0.037,0.637,0.46,31.247,2.671,0.221,0.238,0.443,0.217,0.007
