,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.978,0.931,0.426,0.265,0.806,0.429,0.515,0.999,0.178,0.744,0.468
1,es_fscore_0.5_std,0.122,0.123,0.12,0.259,0.156,0.122,0.303,0.004,0.054,0.168,0.217
2,es_precision_0.5_mean,0.977,0.922,0.437,0.26,0.92,0.515,0.439,1.0,0.115,0.663,0.765
3,es_precision_0.5_std,0.123,0.127,0.125,0.249,0.183,0.085,0.296,0.0,0.039,0.169,0.269
4,es_recall_0.5_mean,0.979,0.943,0.481,0.293,0.741,0.395,0.712,0.999,0.415,0.899,0.364
5,es_recall_0.5_std,0.121,0.12,0.176,0.293,0.144,0.132,0.237,0.007,0.079,0.129,0.199
6,execution_time_mean,0.834,0.916,15.534,0.978,26.812,8.25,3.526,5.998,5.682,3.504,0.355
7,execution_time_std,0.047,0.039,0.887,0.135,17.123,0.718,0.337,0.313,0.231,0.247,0.006
