,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.867,0.868,0.233,0.274,0.803,0.486,0.751,0.969,0.183,0.786,0.524
1,es_fscore_05_std,0.115,0.113,0.19,0.213,0.196,0.261,0.142,0.138,0.117,0.104,0.255
2,es_precision_05_mean,0.838,0.839,0.312,0.302,0.814,0.595,0.657,0.97,0.14,0.7,0.74
3,es_precision_05_std,0.121,0.118,0.226,0.227,0.214,0.209,0.14,0.138,0.094,0.107,0.278
4,es_recall_05_mean,0.905,0.905,0.239,0.272,0.814,0.443,0.955,0.968,0.284,0.977,0.433
5,es_recall_05_std,0.101,0.101,0.244,0.223,0.179,0.272,0.094,0.139,0.167,0.053,0.245
6,execution_time_mean,0.1,0.104,1.049,0.227,5.352,0.747,0.478,0.503,0.857,0.476,0.264
7,execution_time_std,0.005,0.005,0.093,0.013,2.027,0.026,0.048,0.029,0.056,0.047,0.005
