,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.931,0.931,0.426,0.271,0.806,0.429,0.515,0.999,0.18,0.744,0.468
1,es_fscore_05_std,0.124,0.123,0.12,0.239,0.156,0.122,0.303,0.004,0.122,0.168,0.217
2,es_precision_05_mean,0.922,0.922,0.437,0.285,0.92,0.515,0.439,1.0,0.136,0.663,0.765
3,es_precision_05_std,0.128,0.127,0.125,0.236,0.183,0.085,0.296,0.0,0.093,0.169,0.269
4,es_recall_05_mean,0.943,0.943,0.481,0.282,0.741,0.395,0.712,0.999,0.267,0.899,0.364
5,es_recall_05_std,0.12,0.12,0.176,0.257,0.144,0.132,0.237,0.007,0.179,0.129,0.199
6,execution_time_mean,0.899,0.916,15.534,1.198,26.812,8.25,3.526,5.998,15.462,3.504,0.355
7,execution_time_std,0.04,0.039,0.887,0.105,17.123,0.718,0.337,0.313,0.981,0.247,0.006
