,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.988,0.917,0.273,0.289,0.573,0.689,0.411,0.971,0.186,0.655,0.507
1,es_fscore_0.5_std,0.071,0.163,0.196,0.253,0.088,0.287,0.255,0.137,0.058,0.214,0.213
2,es_precision_0.5_mean,0.988,0.911,0.285,0.289,0.804,0.73,0.336,0.975,0.123,0.573,0.8
3,es_precision_0.5_std,0.073,0.161,0.183,0.246,0.244,0.249,0.249,0.13,0.042,0.211,0.255
4,es_recall_0.5_mean,0.989,0.932,0.403,0.319,0.528,0.674,0.591,0.968,0.395,0.819,0.398
5,es_recall_0.5_std,0.07,0.162,0.295,0.291,0.076,0.291,0.226,0.141,0.083,0.186,0.196
6,execution_time_mean,1.855,2.017,36.831,1.842,21.874,23.71,6.987,12.883,13.682,6.973,0.405
7,execution_time_std,0.06,0.062,1.352,0.288,10.126,2.097,0.444,0.387,0.592,0.428,0.008
