,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.99,0.736,0.073,0.352,0.361,0.611,0.459,0.983,0.253,0.629,0.307
1,es_fscore_0.5_std,0.07,0.222,0.115,0.218,0.131,0.293,0.233,0.086,0.053,0.143,0.165
2,es_precision_0.5_mean,0.99,0.76,0.068,0.379,0.58,0.67,0.397,0.985,0.193,0.564,0.555
3,es_precision_0.5_std,0.07,0.201,0.072,0.218,0.183,0.237,0.226,0.085,0.047,0.15,0.172
4,es_recall_0.5_mean,0.99,0.725,0.177,0.354,0.276,0.595,0.588,0.981,0.375,0.765,0.234
5,es_recall_0.5_std,0.07,0.233,0.273,0.238,0.13,0.299,0.241,0.088,0.054,0.123,0.157
6,execution_time_mean,3.166,4.43,108.303,3.938,47.72,225.61,15.156,29.564,24.619,15.363,0.445
7,execution_time_std,0.109,1.58,157.839,1.416,73.052,149.336,6.3,11.623,1.056,6.673,0.011
