,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.975,0.907,0.148,0.266,0.907,0.69,0.652,0.978,0.221,0.746,0.469
1,es_fscore_0.5_std,0.127,0.143,0.196,0.236,0.17,0.278,0.229,0.11,0.062,0.154,0.234
2,es_precision_0.5_mean,0.976,0.894,0.157,0.275,0.922,0.74,0.571,0.98,0.155,0.664,0.72
3,es_precision_0.5_std,0.128,0.139,0.179,0.24,0.174,0.25,0.227,0.098,0.048,0.157,0.258
4,es_recall_0.5_mean,0.976,0.931,0.26,0.274,0.898,0.664,0.815,0.977,0.4,0.908,0.375
5,es_recall_0.5_std,0.124,0.143,0.35,0.248,0.173,0.281,0.21,0.116,0.074,0.129,0.216
6,execution_time_mean,0.524,0.614,9.625,1.192,34.296,6.872,2.448,3.694,3.287,2.495,0.322
7,execution_time_std,0.025,0.061,0.742,0.096,12.592,0.752,0.313,0.294,0.16,0.304,0.006
