,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.772,0.773,0.033,0.249,0.734,0.396,0.662,0.994,0.18,0.687,0.617
1,es_fscore_05_std,0.068,0.068,0.129,0.229,0.268,0.04,0.193,0.051,0.092,0.193,0.254
2,es_precision_05_mean,0.718,0.719,0.032,0.247,0.775,0.495,0.562,0.995,0.121,0.617,0.774
3,es_precision_05_std,0.066,0.065,0.127,0.234,0.273,0.05,0.2,0.05,0.063,0.205,0.258
4,es_recall_05_mean,0.845,0.845,0.04,0.275,0.708,0.33,0.988,0.993,0.378,0.98,0.548
5,es_recall_05_std,0.072,0.072,0.164,0.26,0.271,0.033,0.072,0.052,0.161,0.054,0.242
6,execution_time_mean,0.038,0.041,0.3,0.111,0.955,0.188,0.206,0.17,0.249,0.207,0.243
7,execution_time_std,0.003,0.003,0.31,0.006,0.383,0.012,0.026,0.013,0.031,0.026,0.005
