,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.743,0.744,0.054,0.276,0.848,0.541,0.751,0.999,0.232,0.778,0.274
1,es_fscore_05_std,0.155,0.153,0.102,0.212,0.205,0.24,0.167,0.004,0.165,0.159,0.164
2,es_precision_05_mean,0.716,0.718,0.049,0.34,0.861,0.605,0.69,1.0,0.219,0.719,0.49
3,es_precision_05_std,0.145,0.144,0.085,0.23,0.21,0.204,0.175,0.0,0.156,0.167,0.141
4,es_recall_05_mean,0.832,0.832,0.123,0.257,0.845,0.511,0.887,0.999,0.248,0.915,0.209
5,es_recall_05_std,0.161,0.161,0.211,0.212,0.209,0.25,0.089,0.007,0.174,0.055,0.164
6,execution_time_mean,0.341,0.351,5.52,0.963,19.955,4.997,1.487,2.094,4.775,1.467,0.306
7,execution_time_std,0.021,0.019,0.565,0.144,9.699,0.527,0.146,0.13,4.413,0.117,0.006
