,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.978,0.806,0.068,0.294,0.717,0.401,0.696,0.98,0.18,0.758,0.548
1,es_fscore_0.5_std,0.121,0.092,0.137,0.24,0.273,0.096,0.167,0.098,0.077,0.155,0.293
2,es_precision_0.5_mean,0.98,0.762,0.091,0.294,0.759,0.495,0.593,0.98,0.119,0.678,0.71
3,es_precision_0.5_std,0.121,0.092,0.181,0.24,0.284,0.05,0.165,0.098,0.055,0.174,0.301
4,es_recall_0.5_mean,0.979,0.865,0.062,0.313,0.699,0.355,0.974,0.98,0.403,0.993,0.479
5,es_recall_0.5_std,0.107,0.095,0.128,0.265,0.273,0.127,0.102,0.098,0.115,0.033,0.281
6,execution_time_mean,0.043,0.055,0.422,0.124,1.956,0.311,0.276,0.243,0.212,0.274,0.251
7,execution_time_std,0.002,0.004,0.047,0.009,0.835,0.019,0.036,0.02,0.023,0.028,0.009
