,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.995,0.82,0.091,0.362,0.873,0.66,0.644,0.969,0.238,0.742,0.387
1,es_fscore_0.5_std,0.05,0.194,0.149,0.222,0.188,0.261,0.206,0.121,0.059,0.122,0.218
2,es_precision_0.5_mean,0.995,0.811,0.09,0.369,0.898,0.7,0.568,0.97,0.175,0.663,0.62
3,es_precision_0.5_std,0.05,0.188,0.117,0.219,0.195,0.245,0.202,0.119,0.05,0.131,0.214
4,es_recall_0.5_mean,0.994,0.867,0.187,0.378,0.855,0.635,0.789,0.968,0.379,0.903,0.308
5,es_recall_0.5_std,0.05,0.195,0.3,0.255,0.187,0.267,0.203,0.123,0.061,0.064,0.206
6,execution_time_mean,0.622,0.663,11.044,1.648,25.984,10.385,2.623,4.293,4.28,2.662,0.336
7,execution_time_std,0.024,0.032,0.677,0.181,17.421,1.131,0.217,0.199,0.265,0.202,0.006
