,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.98,0.899,0.19,0.328,0.872,0.634,0.733,0.98,0.213,0.808,0.425
1,es_fscore_0.5_std,0.112,0.155,0.193,0.232,0.157,0.263,0.195,0.125,0.068,0.106,0.233
2,es_precision_0.5_mean,0.981,0.883,0.207,0.33,0.863,0.695,0.647,0.985,0.148,0.722,0.675
3,es_precision_0.5_std,0.114,0.157,0.195,0.235,0.177,0.244,0.197,0.111,0.053,0.119,0.295
4,es_recall_0.5_mean,0.979,0.921,0.296,0.344,0.901,0.598,0.89,0.978,0.39,0.96,0.338
5,es_recall_0.5_std,0.107,0.154,0.311,0.256,0.135,0.269,0.177,0.13,0.09,0.067,0.213
6,execution_time_mean,0.26,0.285,4.01,0.928,19.65,2.704,1.194,1.641,1.522,1.195,0.296
7,execution_time_std,0.011,0.012,0.256,0.155,7.444,0.104,0.094,0.092,0.102,0.082,0.006
