,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.654,0.39,0.319,0.37,0.624,0.165,0.669,0.817,0.254,0.832,0.371
1,es_fscore_0.5_std,0.237,0.358,0.152,0.199,0.103,0.21,0.279,0.252,0.057,0.161,0.204
2,es_precision_0.5_mean,0.743,0.775,0.333,0.465,0.58,0.505,0.625,0.86,0.198,0.816,0.69
3,es_precision_0.5_std,0.25,0.249,0.147,0.113,0.094,0.05,0.291,0.224,0.045,0.143,0.253
4,es_recall_0.5_mean,0.635,0.39,0.421,0.366,0.77,0.148,0.772,0.819,0.371,0.909,0.284
5,es_recall_0.5_std,0.217,0.357,0.197,0.205,0.108,0.199,0.23,0.238,0.096,0.14,0.176
6,execution_time_mean,0.738,146.996,92.28,3.195,842.951,298.574,3.971,935.66,3.875,4.097,0.315
7,execution_time_std,0.029,66.008,39.076,1.598,362.733,138.583,1.888,407.044,0.268,2.161,0.005
