,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.965,0.951,0.418,0.298,0.847,0.399,0.661,0.994,0.188,0.771,0.439
1,es_fscore_0.5_std,0.146,0.072,0.115,0.255,0.184,0.135,0.255,0.05,0.048,0.162,0.228
2,es_precision_0.5_mean,0.965,0.941,0.453,0.284,0.839,0.505,0.574,0.995,0.122,0.685,0.779
3,es_precision_0.5_std,0.145,0.075,0.119,0.245,0.197,0.05,0.247,0.05,0.034,0.164,0.267
4,es_recall_0.5_mean,0.964,0.963,0.441,0.334,0.872,0.359,0.846,0.993,0.427,0.934,0.334
5,es_recall_0.5_std,0.146,0.07,0.188,0.296,0.17,0.145,0.204,0.051,0.057,0.125,0.199
6,execution_time_mean,0.857,1.027,20.632,2.283,61.48,6.568,3.752,6.782,4.694,3.796,0.328
7,execution_time_std,0.041,0.087,7.423,0.272,23.107,0.463,0.306,0.516,0.243,0.53,0.006
