,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.979,0.979,0.382,0.304,0.923,0.456,0.693,0.965,0.172,0.797,0.162
1,es_fscore_0.5_std,0.122,0.098,0.158,0.257,0.116,0.08,0.218,0.146,0.06,0.084,0.137
2,es_precision_0.5_mean,0.98,0.98,0.408,0.307,0.919,0.51,0.615,0.965,0.11,0.729,0.206
3,es_precision_0.5_std,0.121,0.098,0.161,0.259,0.128,0.07,0.218,0.146,0.042,0.098,0.214
4,es_recall_0.5_mean,0.978,0.979,0.432,0.334,0.936,0.422,0.848,0.964,0.411,0.923,0.264
5,es_recall_0.5_std,0.124,0.098,0.23,0.29,0.104,0.087,0.167,0.146,0.079,0.068,0.14
6,execution_time_mean,0.136,0.161,2.664,0.161,16.624,1.772,0.732,0.887,1.149,0.745,0.256
7,execution_time_std,0.005,0.005,1.345,0.024,5.365,0.125,0.068,0.076,0.196,0.081,0.004
