,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.662,0.225,0.312,0.419,0.648,0.156,0.686,0.743,0.248,0.831,0.179
1,es_fscore_0.5_std,0.234,0.277,0.146,0.171,0.09,0.208,0.246,0.342,0.05,0.114,0.131
2,es_precision_0.5_mean,0.759,0.665,0.312,0.476,0.608,0.5,0.646,0.859,0.199,0.803,0.387
3,es_precision_0.5_std,0.245,0.274,0.16,0.111,0.103,0.071,0.26,0.224,0.041,0.129,0.241
4,es_recall_0.5_mean,0.639,0.225,0.432,0.426,0.762,0.142,0.774,0.743,0.346,0.909,0.162
5,es_recall_0.5_std,0.213,0.277,0.165,0.181,0.083,0.196,0.207,0.34,0.094,0.105,0.106
6,execution_time_mean,0.168,11.326,9.573,0.285,78.24,35.197,0.797,58.441,1.117,0.856,0.26
7,execution_time_std,0.007,0.485,0.664,0.174,6.926,0.937,0.048,10.618,0.094,0.06,0.005
