,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.25_mean,0.997,0.953,0.925,0.889,0.977,0.936,0.719,0.994,0.729,0.843,0.514
1,es_fscore_0.25_std,0.017,0.025,0.156,0.246,0.065,0.13,0.096,0.031,0.089,0.107,0.257
2,es_precision_0.25_mean,1.0,0.993,0.905,0.961,1.0,1.0,0.836,1.0,0.671,0.928,0.938
3,es_precision_0.25_std,0.0,0.01,0.169,0.181,0.0,0.0,0.094,0.0,0.091,0.072,0.238
4,es_recall_0.25_mean,0.995,0.916,0.959,0.861,0.961,0.898,0.633,0.99,0.802,0.777,0.389
5,es_recall_0.25_std,0.029,0.041,0.14,0.273,0.101,0.156,0.098,0.053,0.106,0.137,0.25
6,execution_time_mean,0.652,0.716,13.18,0.642,28.346,17.628,2.824,4.771,4.124,2.849,0.364
7,execution_time_std,0.022,0.036,1.321,0.218,33.85,2.733,0.237,0.258,0.297,0.217,0.009
