,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.25_mean,0.995,0.96,0.603,0.9,0.971,0.867,0.89,0.999,0.755,0.944,0.522
1,es_fscore_0.25_std,0.028,0.023,0.426,0.237,0.044,0.184,0.088,0.005,0.093,0.088,0.271
2,es_precision_0.25_mean,1.0,0.976,0.608,0.961,0.978,1.0,0.948,1.0,0.682,0.983,0.94
3,es_precision_0.25_std,0.0,0.025,0.415,0.186,0.06,0.0,0.068,0.0,0.097,0.042,0.237
4,es_recall_0.25_mean,0.991,0.945,0.633,0.876,0.966,0.798,0.842,0.999,0.851,0.915,0.4
5,es_recall_0.25_std,0.047,0.03,0.437,0.259,0.038,0.211,0.113,0.01,0.11,0.127,0.262
6,execution_time_mean,0.144,0.189,2.275,0.14,7.464,2.138,0.845,0.979,0.666,0.835,0.296
7,execution_time_std,0.008,0.012,0.218,0.013,3.407,0.152,0.091,0.069,0.056,0.081,0.005
