,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.539,0.539,0.978,0.084,0.092,0.011,0.754,0.973,0.001,0.096,0.482
1,es_fscore_05_std,0.168,0.168,0.002,0.029,0.015,0.005,0.04,0.032,0.0,0.133,0.044
2,es_precision_05_mean,0.531,0.531,0.98,0.07,0.101,0.02,0.672,0.975,0.0,0.088,0.697
3,es_precision_05_std,0.168,0.168,0.0,0.026,0.022,0.002,0.039,0.03,0.0,0.119,0.047
4,es_recall_05_mean,0.574,0.574,0.976,0.154,0.09,0.008,0.939,0.972,0.019,0.133,0.392
5,es_recall_05_std,0.167,0.167,0.004,0.042,0.013,0.006,0.037,0.033,0.002,0.161,0.041
6,execution_time_mean,146.778,148.652,1875.455,1376.422,515.748,719.724,427.943,499.946,6094.833,429.043,1.863
7,execution_time_std,64.567,65.291,145.464,903.758,134.481,100.808,65.856,14.402,397.514,65.586,0.085
