,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.915,0.915,0.383,0.249,0.867,0.354,0.765,0.994,0.179,0.807,0.534
1,es_fscore_05_std,0.071,0.07,0.14,0.257,0.158,0.138,0.144,0.05,0.111,0.099,0.225
2,es_precision_05_mean,0.897,0.898,0.463,0.284,0.871,0.5,0.666,0.995,0.13,0.72,0.792
3,es_precision_05_std,0.072,0.072,0.111,0.274,0.17,0.071,0.153,0.05,0.081,0.121,0.274
4,es_recall_05_mean,0.939,0.939,0.366,0.246,0.88,0.3,0.953,0.992,0.289,0.978,0.436
5,es_recall_05_std,0.059,0.059,0.199,0.266,0.148,0.149,0.103,0.051,0.174,0.043,0.213
6,execution_time_mean,0.165,0.171,1.977,0.354,10.264,1.102,0.756,0.892,1.611,0.764,0.375
7,execution_time_std,0.023,0.02,0.187,0.039,3.191,0.103,0.072,0.095,0.208,0.118,0.009
