,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.98,0.942,0.018,0.678,0.781,0.771,0.737,0.99,0.491,0.838,0.557
1,es_fscore_0.5_std,0.14,0.103,0.102,0.455,0.27,0.236,0.155,0.099,0.202,0.133,0.311
2,es_precision_0.5_mean,0.98,0.929,0.03,0.687,0.78,0.99,0.63,0.99,0.376,0.838,0.85
3,es_precision_0.5_std,0.14,0.104,0.104,0.456,0.298,0.099,0.163,0.099,0.172,0.166,0.357
4,es_recall_0.5_mean,0.98,0.957,0.026,0.675,0.796,0.679,0.912,0.99,0.75,0.89,0.447
5,es_recall_0.5_std,0.14,0.107,0.149,0.456,0.236,0.268,0.128,0.099,0.202,0.179,0.29
6,execution_time_mean,0.078,0.067,0.557,0.07,1.977,0.555,0.322,0.296,0.205,0.33,0.344
7,execution_time_std,0.01,0.008,0.241,0.004,1.092,0.053,0.038,0.038,0.018,0.055,0.029
