,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.275,0.275,0.0,0.285,0.421,0.103,0.677,0.199,0.463,0.519,0.022
1,es_fscore_05_std,0.052,0.061,0.0,0.334,0.141,0.26,0.104,0.052,0.269,0.142,0.074
2,es_precision_05_mean,0.99,0.98,0.0,0.454,0.853,0.221,0.542,0.98,0.446,0.483,0.389
3,es_precision_05_std,0.099,0.14,0.0,0.474,0.265,0.387,0.113,0.14,0.264,0.158,0.487
4,es_recall_05_mean,0.16,0.16,0.0,0.233,0.295,0.106,0.921,0.111,0.494,0.637,0.012
5,es_recall_05_std,0.033,0.038,0.0,0.29,0.104,0.262,0.075,0.032,0.266,0.22,0.043
6,execution_time_mean,0.149,6.343,2.094,0.141,52.281,26.456,0.705,27.068,1.425,0.717,0.299
7,execution_time_std,0.009,0.394,0.162,0.017,9.16,2.087,0.072,4.676,0.129,0.071,0.005
