,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.953,0.953,0.414,0.26,0.889,0.422,0.649,0.999,0.226,0.782,0.512
1,es_fscore_05_std,0.064,0.064,0.113,0.235,0.159,0.115,0.251,0.007,0.1,0.121,0.224
2,es_precision_05_mean,0.944,0.944,0.439,0.281,0.882,0.505,0.56,1.0,0.169,0.691,0.78
3,es_precision_05_std,0.067,0.066,0.127,0.248,0.178,0.05,0.247,0.0,0.075,0.128,0.277
4,es_recall_05_mean,0.963,0.963,0.456,0.268,0.911,0.384,0.833,0.998,0.344,0.946,0.411
5,es_recall_05_std,0.063,0.063,0.198,0.25,0.142,0.126,0.208,0.013,0.149,0.089,0.206
6,execution_time_mean,0.496,0.511,9.09,1.305,35.624,4.107,2.059,3.099,6.822,2.021,0.291
7,execution_time_std,0.037,0.04,2.283,0.17,9.543,0.316,0.163,0.22,0.442,0.139,0.005
