,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.483,0.086,0.208,0.309,0.637,0.086,0.677,0.745,0.154,0.684,0.139
1,es_fscore_05_std,0.05,0.183,0.144,0.195,0.078,0.169,0.242,0.341,0.121,0.241,0.114
2,es_precision_05_mean,0.48,0.555,0.27,0.458,0.612,0.5,0.653,0.809,0.226,0.77,0.335
3,es_precision_05_std,0.009,0.187,0.129,0.122,0.085,0.0,0.232,0.242,0.077,0.132,0.275
4,es_recall_05_mean,0.557,0.088,0.254,0.298,0.737,0.075,0.789,0.748,0.164,0.783,0.155
5,es_recall_05_std,0.077,0.186,0.185,0.196,0.079,0.154,0.209,0.336,0.149,0.222,0.097
6,execution_time_mean,0.253,27.852,28.34,0.477,181.261,79.833,1.127,185.185,3.135,1.116,0.269
7,execution_time_std,0.012,0.8,3.291,0.038,10.056,1.405,0.074,28.764,0.094,0.075,0.004
