,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.463,0.026,0.441,0.306,0.63,0.014,0.131,0.659,0.198,0.253,0.067
1,es_fscore_05_std,0.105,0.107,0.174,0.171,0.071,0.078,0.217,0.261,0.128,0.142,0.094
2,es_precision_05_mean,0.477,0.464,0.449,0.484,0.6,0.48,0.215,0.685,0.329,0.356,0.352
3,es_precision_05_std,0.049,0.098,0.151,0.071,0.071,0.098,0.166,0.241,0.07,0.148,0.262
4,es_recall_05_mean,0.524,0.028,0.491,0.279,0.718,0.012,0.301,0.671,0.175,0.409,0.091
5,es_recall_05_std,0.139,0.115,0.184,0.172,0.067,0.071,0.297,0.252,0.147,0.134,0.082
6,execution_time_mean,1.416,609.035,1174.003,6.533,3194.795,1005.893,5.542,4190.472,11.717,4.076,0.316
7,execution_time_std,0.442,207.369,276.741,4.647,1010.074,359.564,1.704,1158.218,5.829,0.106,0.005
