,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.75_mean,0.9,0.92,0.0,0.348,0.694,0.83,0.006,0.89,0.358,0.059,0.0
1,es_fscore_0.75_std,0.3,0.271,0.0,0.461,0.411,0.281,0.029,0.313,0.209,0.137,0.0
2,es_precision_0.75_mean,0.9,0.92,0.001,0.373,0.698,0.93,0.004,0.89,0.272,0.044,0.0
3,es_precision_0.75_std,0.3,0.271,0.01,0.481,0.416,0.255,0.016,0.313,0.172,0.126,0.0
4,es_recall_0.75_mean,0.9,0.92,0.0,0.339,0.697,0.776,0.822,0.89,0.573,0.894,0.362
5,es_recall_0.75_std,0.3,0.271,0.0,0.456,0.397,0.283,0.114,0.313,0.229,0.155,0.286
6,execution_time_mean,0.139,0.159,1.948,0.136,6.001,1.904,0.736,0.84,0.671,0.705,0.295
7,execution_time_std,0.006,0.006,0.312,0.014,2.524,0.143,0.098,0.096,0.058,0.079,0.027
