,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.25_mean,0.179,0.183,0.0,0.562,0.402,0.113,0.891,0.165,0.776,0.804,0.086
1,es_fscore_0.25_std,0.057,0.051,0.0,0.336,0.081,0.251,0.06,0.065,0.082,0.117,0.129
2,es_precision_0.25_mean,0.94,0.96,0.0,0.819,0.971,0.259,0.858,0.9,0.693,0.811,0.629
3,es_precision_0.25_std,0.237,0.196,0.0,0.336,0.077,0.415,0.089,0.3,0.09,0.116,0.47
4,es_recall_0.25_mean,0.099,0.101,0.0,0.485,0.258,0.093,0.934,0.091,0.889,0.818,0.051
5,es_recall_0.25_std,0.033,0.03,0.0,0.335,0.07,0.223,0.059,0.037,0.094,0.156,0.079
6,execution_time_mean,0.14,13.315,2.143,0.131,88.111,51.521,0.685,54.84,0.676,0.724,0.296
7,execution_time_std,0.008,1.399,0.243,0.007,7.13,4.492,0.048,7.827,0.061,0.063,0.006
