,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.75_mean,0.163,0.101,0.0,0.162,0.152,0.033,0.248,0.138,0.285,0.192,0.002
1,es_fscore_0.75_std,0.083,0.103,0.0,0.303,0.177,0.133,0.101,0.105,0.158,0.118,0.018
2,es_precision_0.75_mean,0.85,0.91,0.0,0.225,0.332,0.086,0.149,0.85,0.218,0.134,0.273
3,es_precision_0.75_std,0.357,0.286,0.0,0.385,0.419,0.277,0.068,0.357,0.128,0.099,0.439
4,es_recall_0.75_mean,0.096,0.056,0.0,0.145,0.173,0.028,0.885,0.08,0.471,0.568,0.011
5,es_recall_0.75_std,0.044,0.059,0.0,0.278,0.134,0.127,0.092,0.06,0.191,0.218,0.041
6,execution_time_mean,0.14,6.573,2.094,0.136,52.281,26.456,0.705,27.068,0.701,0.717,0.299
7,execution_time_std,0.006,0.317,0.162,0.017,9.16,2.087,0.072,4.676,0.141,0.071,0.005
