,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.231,0.227,0.0,0.54,0.504,0.256,0.656,0.219,0.575,0.465,0.041
1,es_fscore_0.5_std,0.066,0.07,0.0,0.442,0.204,0.4,0.097,0.076,0.169,0.161,0.096
2,es_precision_0.5_mean,0.99,0.97,0.0,0.607,0.85,0.3,0.524,0.97,0.469,0.491,0.416
3,es_precision_0.5_std,0.099,0.171,0.0,0.464,0.287,0.433,0.103,0.171,0.155,0.185,0.49
4,es_recall_0.5_mean,0.132,0.13,0.0,0.518,0.382,0.266,0.894,0.126,0.759,0.524,0.024
5,es_recall_0.5_std,0.044,0.044,0.0,0.439,0.189,0.392,0.098,0.047,0.173,0.232,0.056
6,execution_time_mean,0.14,3.35,2.132,0.133,31.16,14.733,0.726,16.946,0.668,0.71,0.298
7,execution_time_std,0.006,0.161,0.177,0.008,7.127,1.274,0.077,4.892,0.059,0.069,0.006
