,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.193,0.192,0.0,0.409,0.421,0.103,0.677,0.199,0.548,0.519,0.022
1,es_fscore_0.5_std,0.052,0.061,0.0,0.404,0.141,0.26,0.104,0.052,0.155,0.142,0.074
2,es_precision_0.5_mean,0.98,0.99,0.0,0.493,0.853,0.221,0.542,0.98,0.446,0.483,0.389
3,es_precision_0.5_std,0.14,0.099,0.0,0.46,0.265,0.387,0.113,0.14,0.144,0.158,0.487
4,es_recall_0.5_mean,0.108,0.108,0.0,0.379,0.295,0.106,0.921,0.111,0.728,0.637,0.012
5,es_recall_0.5_std,0.029,0.037,0.0,0.387,0.104,0.262,0.075,0.032,0.163,0.22,0.043
6,execution_time_mean,0.14,6.573,2.094,0.136,52.281,26.456,0.705,27.068,0.701,0.717,0.299
7,execution_time_std,0.006,0.317,0.162,0.017,9.16,2.087,0.072,4.676,0.141,0.071,0.005
