,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.25_mean,0.432,0.261,0.471,0.361,0.349,0.204,0.302,0.319,0.411,0.382,0.185
1,es_fscore_0.25_std,0.087,0.145,0.113,0.139,0.083,0.083,0.13,0.104,0.05,0.127,0.066
2,es_precision_0.25_mean,0.538,0.439,0.495,0.494,0.68,0.236,0.242,0.545,0.273,0.354,0.39
3,es_precision_0.25_std,0.085,0.168,0.144,0.148,0.131,0.087,0.136,0.123,0.038,0.151,0.108
4,es_recall_0.25_mean,0.401,0.234,0.478,0.353,0.284,0.191,0.473,0.26,0.87,0.49,0.143
5,es_recall_0.25_std,0.113,0.134,0.107,0.174,0.083,0.085,0.128,0.088,0.066,0.107,0.055
6,execution_time_mean,1.016,379.851,318.479,4.764,2214.248,660.392,3.662,1208.059,10.521,3.649,0.309
7,execution_time_std,0.904,415.127,664.534,4.222,2146.927,669.193,2.842,1038.107,9.731,2.855,0.035
