,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.75_mean,0.049,0.012,0.141,0.035,0.089,0.032,0.034,0.042,0.12,0.033,0.034
1,es_fscore_0.75_std,0.055,0.038,0.111,0.045,0.062,0.059,0.048,0.056,0.047,0.038,0.038
2,es_precision_0.75_mean,0.155,0.071,0.256,0.13,0.209,0.038,0.086,0.11,0.109,0.117,0.225
3,es_precision_0.75_std,0.121,0.103,0.12,0.109,0.142,0.084,0.077,0.101,0.034,0.078,0.096
4,es_recall_0.75_mean,0.135,0.028,0.218,0.136,0.197,0.156,0.097,0.136,0.436,0.093,0.032
5,es_recall_0.75_std,0.086,0.054,0.094,0.123,0.058,0.096,0.085,0.087,0.122,0.067,0.035
6,execution_time_mean,0.97,304.919,189.07,4.053,2004.868,589.173,3.762,1452.957,9.94,3.673,0.313
7,execution_time_std,0.735,229.87,267.194,3.432,1812.254,511.828,2.527,1458.682,8.965,2.405,0.033
