,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.75_mean,0.0,0,0,0.01,0,0,0.002,0,0,0.002,0.0
1,es_fscore_0.75_std,0.0,0,0,0.043,0,0,0.006,0,0,0.006,0.0
2,es_precision_0.75_mean,0.002,0,0,0.031,0,0,0.001,0,0,0.001,0.094
3,es_precision_0.75_std,0.016,0,0,0.11,0,0,0.004,0,0,0.004,0.093
4,es_recall_0.75_mean,0.0,0,0,0.007,0,0,0.219,0,0,0.056,0.0
5,es_recall_0.75_std,0.005,0,0,0.029,0,0,0.205,0,0,0.067,0.0
6,execution_time_mean,452.402,0,0,197.137,0,0,1410.364,0,0,1473.707,1.848
7,execution_time_std,22.816,0,0,46.927,0,0,131.611,0,0,81.781,0.063
