,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.081,0,0,0.035,0,0,0.105,0,0,0.205,0.12
1,es_fscore_05_std,0.056,0,0,0.051,0,0,0.064,0,0,0.062,0.052
2,es_precision_05_mean,0.653,0,0,0.182,0,0,0.308,0,0,0.605,0.325
3,es_precision_05_std,0.133,0,0,0.186,0,0,0.233,0,0,0.192,0.104
4,es_recall_05_mean,0.048,0,0,0.022,0,0,0.286,0,0,0.302,0.092
5,es_recall_05_std,0.052,0,0,0.033,0,0,0.066,0,0,0.087,0.046
6,execution_time_mean,305.243,0,0,40.391,0,0,882.841,0,0,872.984,0.916
7,execution_time_std,20.634,0,0,2.09,0,0,60.583,0,0,78.308,0.028
