,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.274,0.089,0.326,0.214,0.23,0.13,0.176,0.174,0.265,0.2,0.102
1,es_fscore_05_std,0.104,0.092,0.105,0.095,0.083,0.082,0.085,0.086,0.049,0.094,0.053
2,es_precision_05_mean,0.364,0.366,0.407,0.355,0.433,0.146,0.172,0.383,0.188,0.241,0.345
3,es_precision_05_std,0.129,0.135,0.114,0.143,0.146,0.079,0.086,0.098,0.03,0.116,0.107
4,es_recall_05_mean,0.307,0.097,0.351,0.244,0.265,0.174,0.294,0.182,0.665,0.3,0.085
5,es_recall_05_std,0.102,0.115,0.106,0.145,0.088,0.095,0.102,0.094,0.111,0.115,0.055
6,execution_time_mean,1.016,379.851,318.479,4.764,2214.248,660.392,3.662,1208.059,10.521,3.649,0.309
7,execution_time_std,0.904,415.127,664.534,4.222,2146.927,669.193,2.842,1038.107,9.731,2.855,0.035
