,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.25_mean,0.589,0.641,0.301,0.136,0.183,0.495,0.482,0.741,0.713,0.363,0.009
1,es_fscore_0.25_std,0.134,0.145,0.138,0.105,0.072,0.361,0.341,0.2,0.023,0.207,0.029
2,es_precision_0.25_mean,0.998,0.997,0.997,0.999,1.0,0.697,0.677,0.984,0.995,0.995,0.931
3,es_precision_0.25_std,0.009,0.009,0.017,0.014,0.0,0.367,0.439,0.061,0.011,0.025,0.096
4,es_recall_0.25_mean,0.429,0.486,0.185,0.077,0.102,0.431,0.391,0.628,0.556,0.244,0.005
5,es_recall_0.25_std,0.118,0.131,0.104,0.066,0.045,0.355,0.263,0.232,0.027,0.172,0.015
6,execution_time_mean,2.887,154.907,75.979,6.632,1132.87,3156.573,11.212,156.975,23.933,10.448,0.42
7,execution_time_std,0.054,49.195,8.091,1.228,254.148,1918.375,0.51,48.402,3.545,0.534,0.019
