,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.2,0.191,0.171,0.319,0.658,0.03,0.285,0.29,0.245,0.291,0.004
1,es_fscore_0.5_std,0.123,0.086,0.172,0.157,0.245,0.068,0.135,0.147,0.079,0.17,0.018
2,es_precision_0.5_mean,0.193,0.213,0.178,0.354,0.665,0.077,0.248,0.442,0.151,0.27,0.305
3,es_precision_0.5_std,0.12,0.096,0.168,0.162,0.242,0.09,0.134,0.162,0.046,0.171,0.116
4,es_recall_0.5_mean,0.33,0.302,0.197,0.335,0.748,0.028,0.475,0.344,0.8,0.438,0.005
5,es_recall_0.5_std,0.158,0.103,0.194,0.159,0.221,0.065,0.135,0.15,0.181,0.174,0.021
6,execution_time_mean,0.467,145.372,18.169,19.811,554.718,153.991,2.177,303.139,1.972,2.118,0.366
7,execution_time_std,0.059,46.776,7.511,2.644,158.705,42.365,0.313,79.907,0.292,0.347,0.125
