,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.75_mean,0.208,0.187,0.188,0.123,0.097,0.272,0.219,0.201,0.286,0.203,0.0
1,es_fscore_0.75_std,0.213,0.233,0.12,0.142,0.086,0.251,0.108,0.234,0.255,0.159,0.0
2,es_precision_0.75_mean,0.452,0.476,0.456,0.517,0.429,0.329,0.158,0.537,0.381,0.302,0.827
3,es_precision_0.75_std,0.395,0.408,0.206,0.432,0.351,0.291,0.098,0.36,0.34,0.294,0.156
4,es_recall_0.75_mean,0.147,0.131,0.133,0.074,0.059,0.295,0.455,0.145,0.244,0.223,0.0
5,es_recall_0.75_std,0.151,0.169,0.088,0.089,0.05,0.204,0.081,0.191,0.191,0.135,0.0
6,execution_time_mean,2.845,193.15,102.052,6.609,1260.996,4597.688,11.029,203.696,23.152,10.534,0.377
7,execution_time_std,0.013,81.502,17.147,1.118,279.083,2630.559,0.199,85.668,2.98,0.195,0.015
