,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.25_mean,0.247,0,0,0.04,0,0,0.531,0,0,0.636,0.0
1,es_fscore_0.25_std,0.153,0,0,0.1,0,0,0.155,0,0,0.155,0.0
2,es_precision_0.25_mean,0.509,0,0,0.081,0,0,0.421,0,0,0.586,0.52
3,es_precision_0.25_std,0.26,0,0,0.189,0,0,0.134,0,0,0.202,0.2
4,es_recall_0.25_mean,0.183,0,0,0.033,0,0,0.796,0,0,0.813,0.0
5,es_recall_0.25_std,0.124,0,0,0.086,0,0,0.196,0,0,0.148,0.0
6,execution_time_mean,498.185,0,0,231.097,0,0,1283.026,0,0,1311.99,63.469
7,execution_time_std,96.23,0,0,122.326,0,0,99.678,0,0,121.147,12.253
