,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.385,0.432,0.245,0.271,0.223,0.425,0.579,0.424,0.498,0.343,0.0
1,es_fscore_0.5_std,0.154,0.171,0.131,0.14,0.076,0.157,0.196,0.17,0.12,0.133,0.0
2,es_precision_0.5_mean,0.501,0.521,0.446,0.426,0.696,0.482,0.769,0.497,0.374,0.891,0.825
3,es_precision_0.5_std,0.214,0.206,0.201,0.197,0.255,0.204,0.179,0.203,0.106,0.177,0.285
4,es_recall_0.5_mean,0.324,0.375,0.186,0.205,0.135,0.39,0.488,0.382,0.762,0.223,0.0
5,es_recall_0.5_std,0.135,0.156,0.105,0.115,0.045,0.135,0.205,0.16,0.12,0.107,0.0
6,execution_time_mean,0.148,0.156,2.041,0.135,30.115,2.721,0.693,0.804,0.754,0.692,0.253
7,execution_time_std,0.007,0.006,0.13,0.019,4.85,0.259,0.054,0.053,0.062,0.061,0.005
