,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_0.5_mean,0.728,0.748,0.331,0.322,0.391,0.863,0.936,0.728,0.503,0.67,0.003
1,es_fscore_0.5_std,0.206,0.236,0.139,0.342,0.116,0.226,0.056,0.234,0.144,0.176,0.027
2,es_precision_0.5_mean,0.942,0.923,0.432,0.497,0.963,0.936,0.896,0.928,0.382,0.962,0.857
3,es_precision_0.5_std,0.202,0.246,0.176,0.43,0.169,0.238,0.095,0.235,0.128,0.08,0.307
4,es_recall_0.5_mean,0.612,0.646,0.294,0.265,0.251,0.805,0.986,0.619,0.758,0.549,0.002
5,es_recall_0.5_std,0.214,0.238,0.138,0.311,0.089,0.222,0.03,0.236,0.148,0.213,0.016
6,execution_time_mean,0.147,0.16,2.217,0.135,22.242,2.428,0.723,0.84,0.716,0.702,0.254
7,execution_time_std,0.007,0.009,0.213,0.006,6.206,0.266,0.079,0.056,0.051,0.053,0.008
