,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.947,0.947,0.042,0.276,0.999,0.18,0.683,0.99,0.464,0.809,0.638
1,es_fscore_05_std,0.097,0.097,0.146,0.377,0.004,0.018,0.144,0.1,0.349,0.116,0.231
2,es_precision_05_mean,0.96,0.96,0.043,0.402,1.0,0.99,0.597,0.99,0.447,0.767,0.886
3,es_precision_05_std,0.1,0.1,0.126,0.482,0.0,0.099,0.158,0.099,0.338,0.136,0.186
4,es_recall_05_mean,0.936,0.936,0.087,0.235,0.999,0.099,0.821,0.99,0.484,0.887,0.53
5,es_recall_05_std,0.098,0.098,0.274,0.343,0.007,0.01,0.118,0.1,0.358,0.152,0.258
6,execution_time_mean,0.15,0.155,1.773,0.135,4.588,1.765,0.688,0.787,1.395,0.682,0.254
7,execution_time_std,0.007,0.007,0.144,0.004,1.564,0.097,0.065,0.044,0.088,0.049,0.004
