,metrics,MatrixProfile,PanMatrixProfile,LocoMotif,LatentMotif,MDL,Motiflets,BasePersistentPattern,Valmod,Baseline,AdaptativeBasePersistentPattern,Grammarviz
0,es_fscore_05_mean,0.931,0.931,0.462,0.148,0.615,0.934,0.996,0.916,0.463,0.716,0.117
1,es_fscore_05_std,0.135,0.135,0.297,0.244,0.216,0.045,0.017,0.242,0.289,0.172,0.136
2,es_precision_05_mean,0.945,0.945,0.455,0.226,0.967,1.0,0.997,0.913,0.445,0.992,0.58
3,es_precision_05_std,0.137,0.137,0.277,0.339,0.152,0.0,0.011,0.246,0.281,0.073,0.285
4,es_recall_05_mean,0.917,0.917,0.503,0.123,0.484,0.879,0.994,0.921,0.485,0.59,0.086
5,es_recall_05_std,0.136,0.136,0.328,0.215,0.238,0.074,0.028,0.239,0.297,0.214,0.102
6,execution_time_mean,0.149,0.154,2.295,0.132,17.865,1.917,0.678,0.831,1.378,0.682,0.264
7,execution_time_std,0.006,0.006,0.189,0.004,8.765,0.14,0.052,0.047,0.088,0.059,0.008
